owner,property_address,quadrant,normalized_property_type,building_area,land_area,tax_assessed_value,vacant,last_sale_date,last_sale_price,ssl
"GAYLE, HELENE D",17 LOWER SERVICE CT NW WASHINGTON DC 20001-6460,NE,TOWNHOME,2497.0,1512.0,364260.0,1,1784865600000,1858697.0,3128    0842
"REZVANI, ZITTA",2601 OLMSTED CT NW WASHINGTON DC 20001-6395,NW,TOWNHOME,2497.0,1441.0,360980.0,1,1779854400000,1713605.0,3128    0870
